TargetID	ProbeID	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	 Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval
NEGATIVE	270133	59.91223	0.4392655	57.38953	0.4449153	71.32771	0.09887005	67.10576	0.1129944	59.08316	0.539548	64.22095	0.5353107	62.49326	0.3418079	60.21185	0.4618644
NEGATIVE	270435	62.14989	0.3036723	60.84436	0.2471751	77.64108	0.02542373	58.8669	0.5423729	71.96414	0.04237288	66.56487	0.3855932	63.09584	0.2937853	61.36795	0.3757062
NEGATIVE	290035	67.29899	0.1101695	60.81317	0.25	65.66049	0.3262712	64.15905	0.2344633	69.04163	0.07768361	66.99161	0.3629943	63.51619	0.2725989	58.56475	0.5776836
NEGATIVE	290731	62.04298	0.309322	53.23098	0.7217514	63.68852	0.4180791	57.94748	0.6073446	61.08143	0.3983051	72.91016	0.1228814	60.01063	0.4957627	61.78743	0.3432204
NEGATIVE	290753	63.67504	0.2429378	47.10951	0.9689265	60.84591	0.5960452	60.68465	0.4194915	56.24403	0.7316384	60.79953	0.740113	53.08797	0.8983051	60.30899	0.4533898
NEGATIVE	360091	71.74801	0.03954802	63.74794	0.1158192	62.64269	0.4830509	70.1632	0.05225989	63.11724	0.2683616	68.73148	0.2754237	63.88617	0.2443503	64.38767	0.2485876
NEGATIVE	360255	71.37483	0.04378531	64.75429	0.08898305	66.72449	0.2584746	59.95678	0.4576271	64.1925	0.2217514	76.08983	0.06497175	68.94598	0.09745762	61.37402	0.3742938
NEGATIVE	360332	58.78407	0.5282486	54.95343	0.6172317	58.79534	0.7344633	59.52777	0.4929379	57.8653	0.6242938	63.60587	0.5762712	61.6161	0.3841808	52.66475	0.9039548
NEGATIVE	360634	63.83511	0.2245763	58.9828	0.3403955	74.4356	0.04943503	61.43165	0.3799435	52.86602	0.8983051	68.63036	0.2838983	53.06812	0.90113	63.19358	0.3008475
NEGATIVE	360682	66.26096	0.1285311	66.27679	0.05932203	65.17034	0.3502825	70.4282	0.0480226	59.52985	0.5112994	77.17593	0.05367232	65.29372	0.1836158	73.65188	0.03531073
NEGATIVE	430280	55.43052	0.7528248	52.55416	0.7754237	57.83054	0.7923729	56.18715	0.75	54.98836	0.8107345	64.31296	0.5240113	56.94922	0.7033898	53.2721	0.8870056
NEGATIVE	430327	59.7048	0.4533898	58.04102	0.3954802	64.72372	0.3728814	67.18761	0.1101695	60.90522	0.4138418	65.86398	0.4180791	63.54573	0.269774	61.28197	0.3799435
NEGATIVE	430411	51.68655	0.9279661	48.55966	0.9378531	51.3886	0.9858757	51.46162	0.9293785	46.86847	0.9929379	50.69122	0.9887006	57.19547	0.6864407	52.41249	0.9096045
NEGATIVE	450093	63.38395	0.2556497	56.70315	0.4816384	62.58607	0.4858757	64.32085	0.2245763	68.05945	0.09887005	68.63819	0.2824859	62.45577	0.3432204	59.43369	0.509887
NEGATIVE	460040	57.98071	0.5861582	55.12923	0.6045198	57.33926	0.8107345	56.72827	0.7019774	55.32315	0.7937853	60.58449	0.7542373	52.67978	0.9110169	53.03073	0.8926554
NEGATIVE	460059	60.30948	0.4110169	52.07002	0.8050848	68.26789	0.1850283	58.60765	0.5564972	63.07928	0.2740113	63.6436	0.5720339	53.58535	0.8757062	58.25035	0.59887
NEGATIVE	460398	55.04249	0.7824859	56.00267	0.529661	55.0511	0.9251412	64.03821	0.2429378	57.50153	0.6596045	62.84838	0.6158192	60.42721	0.4632768	59.37944	0.5127119
NEGATIVE	460711	58.05695	0.5734463	51.03388	0.8587571	69.01062	0.1581921	60.90007	0.4124294	64.91843	0.1949152	72.30858	0.1454802	52.03665	0.9194915	58.27682	0.5974576
NEGATIVE	510072	59.40516	0.4759887	61.96911	0.1949152	59.66311	0.6680791	61.96148	0.3573446	61.16517	0.3954802	63.85847	0.5621469	62.84137	0.3149717	57.79541	0.6257062
NEGATIVE	510100	59.35404	0.4830509	58.41236	0.3799435	63.48211	0.4322034	71.97987	0.03107345	61.99168	0.3531073	67.79104	0.3220339	62.07737	0.358757	58.09436	0.6059322
NEGATIVE	510327	55.48805	0.7485875	59.02241	0.3333333	56.19567	0.8785311	53.66061	0.8629944	60.82805	0.4194915	65.21364	0.4548023	57.4425	0.6751412	54.10911	0.84887
NEGATIVE	510433	80.24358	0.007062147	66.04803	0.06638418	81.41084	0.005649718	71.67247	0.03389831	71.29591	0.04661017	78.00509	0.04237288	72.43847	0.03813559	77.25409	0.01129944
NEGATIVE	510600	66.41647	0.1271186	56.03106	0.5225989	64.4158	0.3870057	60.92999	0.4096045	61.28235	0.3898305	67.19691	0.3502825	62.71307	0.3234463	55.70135	0.7528248
NEGATIVE	520017	63.15305	0.2655367	60.79113	0.2528249	67.15894	0.240113	63.30667	0.2853107	62.88979	0.2838983	57.79711	0.8658192	63.5594	0.2683616	59.33727	0.5155367
NEGATIVE	520044	56.47229	0.6850283	54.66492	0.6341808	61.90698	0.5353107	56.44394	0.730226	57.38131	0.6666667	60.51126	0.7570621	62.04097	0.3615819	55.91019	0.740113
NEGATIVE	520768	60.94129	0.3742938	48.8636	0.9322034	56.13355	0.8799435	57.66468	0.6299435	57.66319	0.6426554	68.75443	0.2740113	55.12925	0.8064972	54.17283	0.8418079
NEGATIVE	580279	56.40934	0.6935028	52.04559	0.8079096	56.33715	0.8700565	50.78398	0.9449152	62.69205	0.3008475	62.29934	0.6525424	60.02968	0.4943503	56.84022	0.6864407
NEGATIVE	580390	56.80019	0.6610169	60.06214	0.2810735	63.78141	0.4110169	55.67411	0.7768362	60.9411	0.4096045	68.7779	0.2711864	60.58634	0.4533898	61.7122	0.3531073
NEGATIVE	580546	50.58643	0.9449152	55.58573	0.5677966	58.75702	0.7415254	55.50863	0.7838983	61.66945	0.3728814	57.4711	0.8813559	54.43044	0.8403955	60.50115	0.4336158
NEGATIVE	580619	47.43378	0.9872881	48.33463	0.9449152	58.39034	0.7655367	47.9608	0.9887006	51.80668	0.9251412	55.92468	0.930791	49.99556	0.9618644	53.31615	0.8799435
NEGATIVE	620110	61.33022	0.3488701	59.17924	0.3234463	68.23001	0.1864407	62.71564	0.3107345	68.08147	0.09745762	69.55666	0.2316384	68.01952	0.1144068	67.60606	0.1299435
NEGATIVE	620368	59.65191	0.460452	67.81864	0.04096045	65.86494	0.3163842	63.4532	0.2782486	61.0602	0.3997175	68.56657	0.2853107	65.22722	0.1878531	60.61448	0.4223164
NEGATIVE	620537	61.06444	0.3644068	50.00908	0.8983051	59.88636	0.65113	57.29609	0.6581921	56.28531	0.7245763	60.43628	0.759887	61.12986	0.4096045	58.74421	0.5649717
NEGATIVE	620687	60.08288	0.4265537	64.62271	0.09322034	69.9368	0.1285311	71.45481	0.03672316	65.40775	0.1878531	76.40472	0.06214689	62.80163	0.3163842	69.07147	0.09180791
NEGATIVE	630278	59.21302	0.4929379	56.29746	0.5127119	67.41724	0.2245763	54.29543	0.8347458	54.21649	0.8545198	78.14523	0.04096045	58.66191	0.5918079	59.14444	0.5324859
NEGATIVE	630468	50.69498	0.9420904	58.44748	0.3771186	56.77646	0.8460452	61.41821	0.3827684	54.23074	0.8531073	64.21178	0.5367231	52.6067	0.9138418	50.17209	0.9618644
NEGATIVE	630523	54.65889	0.7980226	55.64575	0.5635593	64.56529	0.3813559	56.54842	0.7161017	58.88472	0.549435	59.86876	0.7838983	55.48259	0.7881356	62.80079	0.3220339
NEGATIVE	630554	51.50943	0.930791	52.21712	0.7966102	66.68611	0.2612994	56.48424	0.7217514	56.12692	0.7372881	49.81294	0.9929379	53.82689	0.8615819	53.29027	0.8841808
NEGATIVE	650184	60.33984	0.4081921	55.24737	0.5946327	63.08878	0.4562147	62.42328	0.3319209	59.84095	0.4816384	69.01685	0.2528249	63.39115	0.2824859	60.88211	0.4081921
NEGATIVE	650224	61.07617	0.3615819	49.82993	0.9025424	67.74979	0.210452	60.63632	0.4223164	60.49095	0.4336158	65.1241	0.4646893	57.14731	0.6906779	60.30147	0.4562147
