PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1750250	ABCA12	73.75822	0.02683616	64.56415	0.09463277	72.55409	0.07485875	71.007	0.04237288	67.35939	0.1186441	75.85925	0.06779661	72.81699	0.03248588	69.99568	0.07485875						
ILMN_1704579	ABCA13	58.97722	0.509887	52.49044	0.779661	61.7044	0.5466102	53.08483	0.8799435	57.1242	0.6836158	61.93378	0.6793785	56.61126	0.720339	61.33125	0.3785311						
ILMN_1747627	ABCA2	130.6756	0	125.0855	0	127.6351	0	117.0679	0	98.0509	0.001412429	98.65806	0.002824859	98.47058	0.001412429	106.3812	0						
ILMN_1687636	ABCA2	73.2432	0.02966102	62.40747	0.1737288	84.151	0.004237288	69.21969	0.06355932	65.70642	0.1723164	78.48592	0.03531073	71.36227	0.04943503	68.07869	0.1186441						
ILMN_1742051	ABCA3	204.0029	0	201.3835	0	246.8706	0	195.7287	0	3744.354	0	4454.492	0	3701.81	0	4584.235	0						
ILMN_1794965	ABCA4	106.0183	0	103.0137	0	126.9189	0	107.0372	0	65.56009	0.1779661	76.11712	0.06355932	61.04432	0.4180791	66.67348	0.1567797						
ILMN_1722286	ABCA5	57.65676	0.6172317	52.8465	0.7485875	63.72579	0.4166667	55.599	0.779661	71.0736	0.0480226	66.64023	0.3785311	62.64623	0.3319209	56.91554	0.6793785						
ILMN_1784176	ABCA5	78.79101	0.009887005	71.71851	0.01553672	92.37674	0.002824859	74.3983	0.01694915	107.4126	0	129.5675	0	97.41898	0.001412429	113.4185	0						
ILMN_1749001	ABCA5	71.42375	0.04237288	73.657	0.01271186	80.66826	0.007062147	77.37661	0.004237288	72.04305	0.03813559	75.86164	0.06638418	63.21539	0.2881356	70.85752	0.06779661						
ILMN_1701551	ABCA6	68.31351	0.08474576	65.99949	0.06920904	72.52145	0.07768361	60.497	0.4293785	278.4124	0	290.7221	0	262.7044	0	276.4763	0						
